Store,Brand,Description,Week,SalesQuantity,TotalSalesPrice,PurchaseQuantity,TotalPurchasePrice,BegInv,EndInv,COGS,InventoryValue,InventoryTurnover,DOI
3,8726,Baileys Irish Cream,9,2,35.98,0,0,42,40,18.78,375.6,0.45804878,113.5250266
3,8203,Grand Marnier,1,28,41.72,0,0,378,546,29.96,584.22,0.064848485,801.8691589
3,8203,Grand Marnier,2,6,8.94,0,0,182,176,6.42,188.32,0.035865922,1449.844237
3,8203,Grand Marnier,3,16,23.84,464,496.48,1152,1376,17.12,1472.32,0.013544304,3839.252336
3,8203,Grand Marnier,4,2,2.98,0,0,288,398,2.14,425.86,0.006239067,8334.579439
3,8203,Grand Marnier,5,4,11.96,0,0,214,318,6.04,480.18,0.022706767,2290.066225
3,8203,Grand Marnier,6,5,14.95,0,0,106,101,7.55,152.51,0.07294686,712.8476821
3,8203,Grand Marnier,7,2,5.98,0,0,101,99,3.02,149.49,0.0302,1721.854305
3,8203,Grand Marnier,8,4,11.96,480,724.8,872,1110,6.04,1676.1,0.006094854,8531.788079
3,8203,Grand Marnier,9,4,99.96,0,0,62,60,66.64,999.6,1.092459016,47.59903962
3,8184,Kahlua,1,20,39.8,0,0,710,1050,31,1627.5,0.035227273,1476.129032
3,8184,Kahlua,2,8,15.92,0,0,350,342,12.4,530.1,0.03583815,1450.967742
3,8184,Kahlua,3,1,1.99,0,0,342,341,1.55,528.55,0.004538799,11456.77419
3,8184,Kahlua,4,5,9.95,0,0,341,336,7.75,520.8,0.022895126,2271.225806
3,8184,Kahlua,5,5,9.95,0,0,336,331,7.75,513.05,0.023238381,2237.677419
3,8184,Kahlua,6,1,25.99,0,0,16,31,18.51,573.81,0.787659574,66.01836845
3,8184,Kahlua,7,3,77.97,0,0,31,28,55.53,518.28,1.882372881,27.62470737
3,8184,Kahlua,8,3,77.97,0,0,28,25,55.53,462.75,2.095471698,24.81541509
3,8184,Kahlua,9,4,103.96,0,0,98,96,74.04,1776.96,0.763298969,68.12533766
3,8101,Tanqueray,1,108,139.32,1080,1004.4,3078,3402,100.44,3163.86,0.031,1677.419355
3,8101,Tanqueray,2,20,25.8,0,0,189,547,18.6,508.71,0.050543478,1028.817204
